nIdPessoa;pediu_para_sair;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
259278;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110222;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;307.107132954017;0.067825
289639;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;240.45635920289493;0.068
311520;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
176054;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
272967;0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;10.08;104.81;2.0;928.0;0.0;2.0;156.816528409688;0.0666
241844;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
304891;0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;46.97;1048.3000000000002;12.0;5471.0;0.0;1.0;203.9136946345;0.1108
154320;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17.758046022224;0.0169
164603;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1712.0;0.0;3.0;289.057589499368;0.0639666666666666
396201;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;19.0;0.0;0.0;0.0;0.0
260166;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;30.088301776303;0.0246
188727;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;21.704936211972;0.019
